SU,Area_km2,Park_Area,Region,Moose_Seen,Moose_Tracks,Total_Moose_Estimate
199,4.71782,4.71782,Park,1,0,1
200,4.71792,4.71792,Park,4,3,5
201,4.71803,4.71803,Park,0,0,0
202,4.71813,4.71813,Park,0,0,0
203,4.71824,4.71824,Park,2,2,3
204,4.71834,4.71834,Park,0,2,1
205,4.71845,4.71845,Park,2,0,2
206,4.71856,4.71856,Park,0,5,1
207,4.71867,4.71867,Park,0,0,0
208,4.71878,4.71878,Park,0,0,0
209,4.7189,4.7189,Park,0,0,0
210,4.71901,4.71901,Park,2,1,3
211,4.71913,4.71913,Park,2,4,4
212,4.71925,4.71925,Park,0,2,2
213,1.32993,1.31873,Park,0,0,0
214,2.7223,2.72228,Park,1,0,1
215,4.71897,4.71897,Park,0,0,0
216,4.71907,4.71907,Park,0,1,1
217,4.71917,4.71917,Park,0,0,0
218,4.71927,4.71927,Park,0,1,1
219,4.71937,4.71937,Park,4,0,4
220,4.71947,4.71947,Park,0,0,0
221,4.71957,4.71957,Park,2,0,2
222,4.71968,4.71968,Park,2,0,2
223,4.71979,4.71979,Park,1,0,1
224,4.71989,4.71989,Park,6,2,7
225,4.72,4.72,Park,0,2,2
226,4.72012,4.72012,Park,0,0,0
227,4.72023,4.72023,Park,0,0,0
228,4.72034,4.72034,Park,0,0,0
229,4.72046,4.72046,Park,0,0,0
230,4.72058,4.72058,Park,0,4,1
231,4.71973,4.71973,Park,0,6,3
232,0.72743,0.72714,Park,0,1,1
233,3.9255,3.92548,Park,2,3,3
234,4.72042,4.72042,Park,7,1,8
235,4.72051,4.72051,Park,1,0,1
236,4.72061,4.72061,Park,4,0,4
237,4.72071,4.72071,Park,0,0,0
238,4.72081,4.72081,Park,0,0,0
239,4.72091,4.72091,Park,3,0,3
240,4.72102,4.72102,Park,1,1,1
241,4.72112,4.72112,Park,0,3,2
242,4.72123,4.72123,Park,1,0,1
243,4.72134,4.72134,Park,1,0,1
244,4.72145,4.72145,Park,2,0,2
245,4.72156,4.72156,Park,1,0,1
246,4.72167,4.72167,Park,1,0,1
247,4.72179,4.72179,Park,0,4,1
248,4.7219,4.7219,Park,2,2,3
249,4.72202,4.72202,Park,3,4,5
250,3.23271,3.23268,Park,0,4,2
251,1.22873,1.22871,Park,0,0,0
